class,run,camcol,rerun,field,objid,u,g,r,i,z,ra,dec,specobjid,plate,mjd,fiberid,redshift
STAR,1402,2,301,70,1237651495219233228,21.64923,20.68749,20.23322,20.02032,19.67978,117.533714889213,41.9526276103981,4136621765621903360,3674,55182,238,3.192531e-05
GALAXY,752,6,301,311,1237648705653768785,25.43554,22.34268,20.48342,19.38291,18.89775,190.162401911744,0.847342349472415,4333731491554717696,3849,55274,519,0.567932
STAR,1402,2,301,81,1237651495219954210,22.08389,21.07936,20.64773,20.36811,20.07422,118.801820334774,43.2514473450023,4146835130189279232,3683,55245,530,3.402262e-05
STAR,1331,5,301,185,1237651191894704136,18.38413,17.45858,17.19596,17.09745,17.06441,130.304883063399,51.828430829161,5806376969633984512,5157,55923,404,-0.0007917281
GALAXY,1462,6,301,577,1237651755097981601,23.44748,22.15621,20.59104,19.70281,19.25696,211.879050997133,3.14570188846842,5385234599713107968,4783,55652,201,0.5083738
GALAXY,752,6,301,310,1237648705653702759,25.72837,21.56627,19.58507,18.90263,18.52523,190.04591858358,0.858335232048169,5352577180172480512,4754,55649,178,0.3547
GALAXY,1402,2,301,112,1237651495221985327,24.6427,21.49792,20.45049,19.9283,19.93643,122.304380239571,47.1214741496753,8308264014845767680,7379,56713,904,0.4608064
STAR,1331,2,301,236,1237651190287433987,21.54985,21.30082,21.23462,21.28281,21.85384,141.334554502241,56.2251738509836,8382417827919491072,7445,56720,338,-3.01416e-06
GALAXY,756,4,301,294,1237648721758782054,22.12979,21.18439,20.4267,19.52614,19.22597,159.895571308696,0.294064873511715,4315820447406682112,3833,55290,895,0.6880886
GALAXY,1140,1,301,18,1237650369397523268,25.59858,22.5938,20.70605,19.6628,19.26391,155.649268611835,-3.07086448711086,4244741967533764608,3770,55234,361,0.5801941
GALAXY,1462,3,301,360,1237651753473147387,21.94479,21.07472,20.10544,19.19355,19.01054,179.305132176248,2.18354998174852,5343745352737157120,4746,55632,816,0.6246847
GALAXY,1412,4,301,265,1237651539255427504,24.94267,21.9891,20.65402,19.64226,19.1686,219.129152425754,63.842852728181,8020943759561388032,7124,56720,119,0.5653063
QSO,1462,6,301,472,1237651755091099888,21.15741,20.53283,20.38399,20.47562,20.20605,196.138165877153,3.40067229524034,5357068135969779712,4758,55682,132,2.612309
GALAXY,752,2,301,560,1237648703522603057,23.38994,22.87697,20.61749,19.43109,19.05833,227.385650090774,-0.760429692811244,4522948647524691968,4017,55329,759,0.5737547
QSO,756,6,301,139,1237648722822365686,21.0555,20.66015,20.36014,20.3096,20.02367,136.683016494815,1.17786959917444,4298912436532736000,3818,55532,824,0.8222275
STAR,756,4,301,321,1237648721760551131,22.3458,21.62646,21.35456,21.34969,20.98948,163.860405226728,0.211551943603669,4317836956429643776,3835,55570,39,0.0004322372
STAR,1331,2,301,132,1237651190280618283,23.59196,20.95149,19.45335,19.20524,17.78144,124.110135399017,45.0926966217883,4155724132430573568,3691,55274,100,-6.16469e-05
QSO,752,2,301,590,1237648703524569980,22.67337,20.70513,20.14465,19.99789,19.85717,231.939578508683,-0.65970732639472,4514996155151216640,4010,55350,500,3.307091
GALAXY,1412,4,301,239,1237651539253723296,19.36136,17.36043,16.4232,15.98241,15.65258,211.149837725235,65.5252795488242,7865578093581889536,6986,56717,150,0.07885484
GALAXY,752,3,301,258,1237648704039682196,25.55166,21.81228,19.73261,18.73082,18.31414,182.153278370843,-0.248117641917092,4329207551784316928,3845,55323,445,0.5317161
STAR,1350,1,301,283,1237651271358022083,23.97764,21.58477,20.27182,19.38886,19.08443,155.303911367427,63.2419648295364,7973670257007718400,7082,56713,171,-0.0002497748
QSO,756,4,301,367,1237648721763565704,20.58944,19.88295,19.79007,19.77545,19.54093,170.775679711343,0.235294903542631,4322508506542043136,3839,55575,650,2.663123
GALAXY,1350,4,301,183,1237651272962081122,24.77184,20.81156,19.63479,18.83363,18.36796,130.523164645148,54.8322435423151,5803041325243363328,5154,55864,557,0.5475906
STAR,1345,6,301,632,1237651252590412660,25.20901,21.83027,20.83482,19.83628,19.35772,249.882217580535,44.236972117898,6789183412500099072,6030,56097,25,-0.0001101369
QSO,756,4,301,145,1237648721749016961,20.54358,20.15333,20.23277,20.13796,20.21764,137.598793471645,0.279229846188624,4298955317486219264,3818,55532,980,2.21708
GALAXY,752,3,301,279,1237648704041058368,25.25117,23.2137,20.83462,19.66504,19.12298,185.362297183265,-0.288050061971262,4331473099939311616,3847,55588,495,0.6898612
GALAXY,1462,6,301,542,1237651755095687765,24.56669,21.58562,20.16806,18.99921,18.44022,206.609990541408,3.33795280707672,5387545223516319744,4785,55659,415,0.6598141
GALAXY,752,6,301,269,1237648705651015910,21.80866,19.77613,18.28402,17.69381,17.28494,183.887602383933,0.846771703063977,4330375233200123904,3846,55327,597,0.2981556
GALAXY,1458,5,301,595,1237651737382421184,22.30642,21.82444,20.55134,19.76849,19.51202,213.984299237768,2.86836014556884,4537591948500463616,4030,55634,783,0.4918768
STAR,1239,6,301,140,1237650797291634809,19.28036,18.06986,17.6733,17.51866,17.50996,141.3647640502,0.913845470645457,8391507216154947584,7453,56749,637,0.000239972
STAR,1239,6,301,158,1237650797292814821,26.05122,22.71123,22.04177,21.30807,21.39996,144.026189583303,0.928487298027393,4307834424156418048,3826,55563,514,-0.002513259
STAR,1231,4,301,142,1237650761858286333,24.79155,21.53837,21.15328,20.82029,20.92684,190.56299929124,-2.44633978079124,4270633541886996480,3793,55214,346,-0.0005346187
GALAXY,756,4,301,191,1237648721752032016,23.2818,21.8543,20.28266,19.48087,19.17118,144.467375264783,0.380777438697058,4307857239022694400,3826,55563,597,0.351564
STAR,1331,5,301,163,1237651191893262894,22.02609,21.45909,20.20486,19.02842,18.38213,127.077473864072,49.3907119746233,4159112551298953216,3694,55209,139,2.365804e-05
STAR,752,3,301,349,1237648704045646400,22.9405,21.80909,21.71032,21.74102,21.5004,195.812544549354,-0.233898318906627,4561220723276443648,4051,55337,728,0.001150308
GALAXY,1462,3,301,326,1237651753470918930,21.2667,20.8171,20.64295,20.61455,20.511,174.224369061565,2.14816219230517,5336829974673027072,4740,55651,234,0.255338
GALAXY,1140,1,301,61,1237650369400341452,24.14186,22.59389,20.7613,19.62227,19.16215,162.082694909214,-3.21450054770934,4262701395981561856,3786,55563,161,0.5413944
GALAXY,1345,2,301,584,1237651250439783239,26.08104,22.46416,21.02505,19.74958,19.05611,241.469836893547,48.8761787555223,7115741670457143296,6320,56453,197,0.6076276
QSO,756,4,301,122,1237648721747509672,19.93566,19.2713,19.0594,18.86601,18.87168,134.173200986176,0.22988946841279,4295519893489119232,3815,55537,770,1.424356
GALAXY,752,6,301,168,1237648705644396989,24.64557,22.61857,20.90995,19.81518,19.4399,168.764168135033,0.962189037874735,4321368038324236288,3838,55588,597,0.5678923
GALAXY,1473,3,301,37,1237651800696619535,22.71408,22.15897,20.18854,19.33309,19.01354,148.619184041282,-0.28634248411748,4308820960997994496,3827,55565,7,0.5047196
QSO,1458,1,301,536,1237651735231070535,21.17233,20.69728,20.67347,20.51534,20.24193,205.153709242732,1.38548424286709,4550926000754192384,4042,55626,140,2.229192
GALAXY,1345,2,301,634,1237651250443059327,23.68396,22.20006,20.36206,19.52014,19.1618,248.285524453335,43.0497949232076,6796080648874029056,6036,56093,541,0.4194248
GALAXY,752,3,301,186,1237648704034963791,22.42875,21.18037,20.1955,19.35306,18.96021,171.36591394072,-0.293968893451363,4322391133675778048,3839,55575,223,0.6055069
STAR,1045,4,301,169,1237649962996138031,20.07964,18.81766,18.2033,17.95007,17.82073,59.3388896481429,-5.50317618188452,8166354994921664512,7253,56598,738,-0.0002202827
GALAXY,2074,2,301,128,1237654381441057336,23.01798,21.41342,19.46215,18.80347,18.48384,138.585421975843,51.8842153782397,6450336202335383552,5729,56598,202,0.4063662
GALAXY,1140,2,301,28,1237650369935049324,23.55759,21.44516,20.20177,19.23128,18.825,157.090111136244,-2.77909049614307,4261655205802340352,3785,55273,451,0.6421288
QSO,756,4,301,408,1237648721766252905,22.15213,21.19218,20.42526,19.90178,19.29143,176.907733062723,0.216951808416864,4325822434420387840,3842,55565,418,4.091764
GALAXY,1404,3,301,30,1237651504343417637,23.26937,22.36238,20.86149,19.71406,19.40159,203.443902510398,-0.132932897394473,4555582707023409152,4046,55605,697,0.575982
GALAXY,1345,3,301,22,1237651250939822712,21.61065,19.43286,17.90132,17.35762,16.99243,114.036065034173,34.820251898512,4999083640241188864,4440,55539,320,0.2410465
GALAXY,1907,2,301,120,1237653664180994743,22.68356,22.07359,20.97548,19.85927,19.20213,140.654922521339,1.30695865583173,5331224389516718080,4735,55651,321,0.6213797
QSO,1331,6,301,127,1237651192427774426,22.48156,20.60685,20.2722,19.92055,20.04704,121.571734941535,45.3332682505566,4155834908227072000,3691,55274,503,2.967149
QSO,1331,2,301,204,1237651190285336961,21.03233,20.61716,20.39584,20.37047,20.02779,135.143352402949,52.9997595995849,8212568295636398080,7294,56739,925,0.8438941
GALAXY,1350,4,301,248,1237651272966340987,22.2846,21.42239,20.70901,19.78753,19.71138,144.13134475218,61.4894804110099,8383452193516875776,7446,56722,5,0.6996619
GALAXY,1458,5,301,517,1237651737377308960,20.96715,18.57528,17.06297,16.52642,16.14835,202.211920258443,3.19121845266684,4554453233988988928,4045,55622,684,0.2592861
GALAXY,1404,2,301,53,1237651503808053874,23.99092,22.50485,21.09775,19.91386,19.61808,206.864324911121,-0.586825450595728,4548753090547478528,4040,55605,427,0.5700662
GALAXY,1345,3,301,35,1237651250940674322,19.36806,17.51079,16.6334,16.10421,15.74499,115.213336046363,36.4663461182248,4128746513655066624,3667,55186,260,0.08362043
QSO,1473,2,301,53,1237651800160797012,21.01673,20.27888,20.00079,19.9581,19.66602,150.948135604541,-0.739532097867758,4259511982308913152,3783,55246,846,2.576977
GALAXY,1140,2,301,55,1237650369936818398,24.05891,20.30514,18.67594,18.01773,17.62835,161.185977632319,-2.74603525986566,4262768466190856192,3786,55563,405,0.2754934
GALAXY,1462,3,301,399,1237651753475703389,24.74905,23.19877,21.0817,20.11822,19.62682,185.196285661487,2.22703811612901,5348271767197249536,4750,55630,899,0.6454979
GALAXY,1350,4,301,141,1237651272959328927,23.78887,22.04424,20.65182,19.67902,19.61904,124.291893812012,49.9707483309542,4159214805880336384,3694,55209,511,0.5973693
GALAXY,1140,2,301,11,1237650369933934916,24.58737,20.79173,18.94547,18.31812,17.86991,154.500398403741,-2.60479486693667,4260454813915607040,3784,55269,180,0.3787138
GALAXY,1350,4,301,268,1237651272967651838,23.96087,21.77255,20.76703,19.83759,19.59146,149.534075264449,63.2353739033117,6442479906978459648,5722,56008,293,0.6424731
GALAXY,1345,2,301,584,1237651250439782484,22.46873,19.70181,18.19997,17.67999,17.28313,241.593903405601,48.9385988200089,7115739746311794688,6320,56453,190,0.2415001
GALAXY,1412,4,301,222,1237651539252609377,25.82102,22.41456,20.73378,19.85806,19.92235,205.096480180016,66.447555025757,7684487703853461504,6825,56717,803,0.4027924
QSO,756,6,301,308,1237648722833440985,21.57876,21.00849,20.80335,20.54578,20.39969,161.899994171469,1.11694181192291,4317977693917999104,3835,55570,551,1.658354
QSO,1331,6,301,61,1237651192423449293,21.34721,20.92572,20.72801,20.66305,20.244,114.374474720865,37.1392990465142,4121977370754871296,3661,55212,210,3.385911
STAR,1241,3,301,60,1237650804265713859,24.60781,21.21262,20.49904,20.22389,20.06957,147.37434904822,-2.221543813631,4258159582973194240,3782,55244,22,0.0004618572
STAR,1241,3,301,46,1237650804264796422,21.88442,20.77326,20.5328,20.54409,20.25055,145.238084208313,-2.30448770263225,4258269534135971840,3782,55244,422,0.0009245994
QSO,752,6,301,350,1237648705656324330,20.7063,20.26335,20.182,19.96994,19.90025,195.904865552391,0.866097415850262,4561224571567140864,4051,55337,742,0.6551934
QSO,1345,3,301,404,1237651250964857134,21.89179,20.76884,20.55324,20.64481,20.48006,199.623137075811,64.0613701433439,7682280708635291648,6823,56687,966,2.649182
GALAXY,1458,5,301,571,1237651737380848220,24.05923,21.60168,19.99392,19.09526,18.68502,210.328340243079,2.94680370944311,4544395721352867840,4036,55330,959,0.4799159
STAR,1140,2,301,176,1237650369944748769,25.60386,22.05849,21.19888,20.9899,20.88487,179.28566765506,-2.98778164033207,4251466855107719168,3776,55209,250,0.0002396557
QSO,1473,1,301,26,1237651799622156920,23.75265,21.31591,20.67422,19.95376,19.73381,147.024499101578,-1.12666547699184,4258405873577816064,3782,55244,918,0.5546988
STAR,756,4,301,145,1237648721749016592,24.63454,19.95753,19.41948,19.1056,19.58172,137.476009459126,0.333330858602224,4302202725129187328,3821,55535,506,0.0004155279
GALAXY,752,6,301,135,1237648705642233993,22.65162,20.02914,19.49092,19.27558,19.25769,163.812666490816,1.02590119855686,4318088469714497536,3835,55570,954,0.06805921
STAR,756,6,301,235,1237648722828656998,22.90273,21.35266,21.09608,20.94779,20.81541,150.955560822483,1.18184979546923,4311266545290113024,3829,55300,712,0.003348304
STAR,1350,4,301,148,1237651272959787567,22.93481,21.33064,20.91157,20.74431,20.97099,125.271065005063,50.7581626066648,4153475629574713344,3689,55180,112,6.440701e-05
STAR,1241,2,301,76,1237650803729891766,26.47016,22.28043,21.34073,20.74347,21.09819,149.710748479754,-2.84493905539613,4259391585785671680,3783,55246,408,0.0004844362
GALAXY,1404,3,301,54,1237651504344990401,24.50237,21.86396,20.03708,19.13292,18.67576,207.077610834796,-0.0955377781330705,4548811364663750656,4040,55605,639,0.5040619
QSO,752,6,301,452,1237648705663009593,24.00484,21.7308,21.3589,21.26422,21.75896,211.29165073627,0.99549913247472,4545517503141048320,4037,55631,944,2.288132
QSO,752,2,301,552,1237648703522079238,21.28731,20.4367,20.30938,20.29134,20.0742,226.170406676,-0.767639862393636,4521685038869966848,4016,55632,258,2.246315
GALAXY,1458,5,301,492,1237651737375670865,24.05664,22.07133,20.60935,19.61098,19.15023,198.526408200113,3.10079752368569,4511718235725033472,4007,55327,863,0.6149797
GALAXY,1458,5,301,494,1237651737375801967,23.22984,22.42925,21.04562,19.82035,19.47073,198.831044278673,3.13320123612926,4511729230841311232,4007,55327,903,0.7378839
STAR,1345,3,301,41,1237651250941067870,21.40214,20.61049,20.34961,20.28099,20.43372,115.979126681939,37.2751415407341,4128909247751319552,3667,55566,852,-0.0004739342
STAR,1345,3,301,48,1237651250941526125,25.94695,20.40348,19.61225,18.11166,23.53509,116.552091269586,38.1324545347669,4128926565059457024,3667,55566,915,3.046632e-05
GALAXY,752,3,301,208,1237648704036405572,22.32691,22.05983,21.97751,22.18957,21.74354,174.716644146844,-0.250063085378152,4324704513539371008,3841,56016,447,0.9589477
GALAXY,1907,1,301,198,1237653663649235359,24.34876,21.21667,19.6544,18.88123,18.61612,152.221960065742,1.20792273182578,4312345445671825408,3830,55574,541,0.3363414
STAR,756,4,301,382,1237648721764549008,22.13456,20.66332,20.28889,20.2793,19.98704,173.026917758247,0.404849052479136,4323647325693734912,3840,55574,697,0.0007456157
GALAXY,1412,4,301,201,1237651539251233106,26.43954,21.81086,20.16394,19.31157,18.81759,197.321685858168,67.2943261352449,7840777234947960832,6964,56748,37,0.4585207
QSO,752,3,301,397,1237648704048791989,21.43819,20.64819,20.36395,20.07838,19.78972,202.935173364398,-0.214577332051809,4555522508761788416,4046,55605,478,0.8014797
GALAXY,756,4,301,231,1237648721754653734,25.36393,22.72465,21.33419,20.27844,19.89193,150.454427625482,0.276740370854869,4310218989596504064,3828,55539,997,0.6478019
QSO,756,4,301,420,1237648721767039053,21.02284,20.16591,19.8603,19.87692,19.66463,178.707469405657,0.41480404241528,4327024195814486016,3843,55278,694,2.205192
QSO,1345,3,301,104,1237651250945196375,21.44932,20.93597,20.51947,20.13589,19.90047,123.085642553779,44.9277810898691,4155782406546845696,3691,55274,312,1.950556
STAR,1140,2,301,28,1237650369935048998,22.04313,21.31757,21.10481,20.88508,20.39548,157.027651642088,-2.81305918220499,4261656030436061184,3785,55273,454,0.0008659813
GALAXY,1462,3,301,323,1237651753470722530,25.15631,21.96906,20.24007,19.34861,18.86375,173.739856682727,2.17288140728331,5336863784655581184,4740,55651,357,0.5357076
GALAXY,1140,2,301,38,1237650369935704984,24.04581,23.40475,21.3843,19.95503,19.32349,158.527969582859,-2.77892027359325,4261568068968968192,3785,55241,134,0.6929241
GALAXY,1350,4,301,205,1237651272963523280,24.77588,23.14551,21.10965,19.98428,19.36296,134.814253923536,57.2188938248903,5798616898254598144,5150,56329,845,0.6107161
QSO,1473,3,301,49,1237651800697405790,21.28666,20.44317,20.30642,20.26577,19.77636,150.343777195035,-0.308526143266808,4309946585590722560,3828,55539,6,2.306855
QSO,756,6,301,435,1237648722841764169,22.17419,21.69256,21.89244,21.69894,21.68988,180.905245749691,1.253399216754,5345898196487565312,4748,55631,456,2.151974
GALAXY,1140,2,301,48,1237650369936360094,25.98116,22.37088,21.29648,20.31505,19.80003,160.151336416203,-2.89541102189687,4245825541443874816,3771,55544,207,0.538458
GALAXY,1140,2,301,57,1237650369936949674,24.20463,22.55927,21.01422,19.87017,19.19408,161.389219401923,-2.71858562264061,4262760219853647872,3786,55563,375,0.6153659
STAR,756,4,301,386,1237648721764811028,21.13694,20.66717,20.71668,20.75736,20.55371,173.572883982115,0.321480209487579,4323680036164661248,3840,55574,816,0.0002640778
QSO,1345,3,301,67,1237651250942771763,22.85712,22.0576,22.07244,21.67781,21.45467,118.517034258404,40.4922249318993,4134571731258634240,3672,55484,972,1.850014
GALAXY,1345,2,301,550,1237651250437554431,19.30395,17.36928,16.45406,16.00337,15.64774,236.152860853956,52.7101252144144,7560619743028899840,6715,56449,734,0.06701794
GALAXY,1907,2,301,123,1237653664181191287,23.44064,22.16984,20.71733,19.68918,19.37836,141.080521073937,1.28339410425271,5331191404167884800,4735,55651,201,0.6465319
STAR,1350,1,301,295,1237651271358808129,22.86958,21.52341,21.51307,21.41482,21.14508,158.82951744592,63.9559519918432,7990703615495565312,7097,56667,698,-0.000107347
GALAXY,1402,2,301,91,1237651495220609657,22.28622,22.06604,20.14588,19.20744,18.65509,119.821590207586,44.5998002382501,7194581873342476288,6390,56244,296,0.4925234
GALAXY,1345,2,301,554,1237651250437816662,23.34799,22.33208,20.83476,19.81278,19.27012,236.769689867239,52.2928856202962,7560472133592870912,6715,56449,197,0.5278277
GALAXY,1350,4,301,286,1237651272968831301,21.89137,21.25027,19.95687,19.09851,18.63316,154.725105179832,64.5539673511838,7973833534484443136,7082,56713,765,0.613848
STAR,756,2,301,512,1237648720699327216,23.43731,21.76876,21.55398,21.63949,21.48831,192.506048992003,-0.438015238957429,4254948458895175680,3779,55222,628,0.002330405
GALAXY,752,6,301,115,1237648705640923669,22.6714,22.06305,20.90526,19.98453,19.49952,160.765854806553,0.884455551692954,4316885611442794496,3834,56014,674,0.5511789
GALAXY,756,4,301,207,1237648721753080262,26.4456,21.7368,19.85017,18.83741,18.21486,146.7976304018,0.26048200310353,4309002380416577536,3827,55565,667,0.520153
QSO,1345,3,301,454,1237651250968133957,21.46988,21.24307,20.95587,21.08792,20.60374,215.170658436203,61.5973196146312,8011969270123261952,7116,56681,238,0.9061794
STAR,1231,4,301,97,1237650761855336779,21.53942,20.86819,20.49413,20.35977,19.99405,183.855336326231,-2.34432241619335,4252630688182497280,3777,55210,388,0.0009037933
GALAXY,756,4,301,208,1237648721753146158,23.56449,23.0323,21.60046,20.05606,19.41475,146.985189748918,0.337749487032391,4309015024800296960,3827,55565,713,0.6333202
GALAXY,1473,1,301,58,1237651799624253918,26.267,21.98463,20.47998,19.67591,19.16589,151.746330199857,-1.15511556637305,4243675166477578240,3769,55240,576,0.3956788
GALAXY,1907,2,301,229,1237653664188137903,22.16641,20.99162,19.23814,18.50092,18.156,156.929642973839,1.71085923907127,5335713970253393920,4739,55644,270,0.3594628
QSO,1345,3,301,441,1237651250967282038,21.15173,20.38527,20.11155,19.97014,19.6509,211.284955165421,62.4321248806596,7673238320512167936,6815,56419,838,2.207206
GALAXY,752,3,301,167,1237648704033718886,24.42551,21.87763,19.6705,18.744,18.3058,168.596308590801,-0.230393921895591,4321322683469590528,3838,55588,432,0.5070763
GALAXY,1402,2,301,92,1237651495220675359,23.99015,22.54496,21.10163,20.05941,19.80291,120.086250006121,44.706492693011,7180051277408825344,6377,56243,682,0.5530713
STAR,752,3,301,366,1237648704046760015,17.46187,16.5869,16.38922,16.31445,16.30177,198.397571804549,-0.254666019070866,8394762869715693568,7456,56727,193,0.0002603426
GALAXY,1462,6,301,510,1237651755093590763,24.80263,23.12954,20.58724,19.48704,18.96005,201.758261736648,3.41852533291261,5358283370642731008,4759,55649,457,0.6134878
GALAXY,2074,2,301,124,1237654381440795661,24.46175,23.80341,21.26192,20.02209,19.29706,137.824043389273,51.6083442899597,6450358467445846016,5729,56598,283,0.6938064
QSO,756,6,301,59,1237648722817123625,23.65997,20.83481,20.32387,20.22039,19.8812,124.742467001005,1.19046586510998,5393246195148320768,4790,55888,675,3.393207
GALAXY,752,6,301,354,1237648705656586589,24.68068,22.75935,20.82062,19.53978,18.99852,196.496219649722,0.939703342358166,4562355148810809344,4052,55600,759,0.6526425
QSO,1331,2,301,197,1237651190284878120,21.58882,21.18752,21.1219,20.68077,20.96852,133.836255799297,52.2998487666767,8212378355002699776,7294,56739,234,1.808302
GALAXY,1350,4,301,294,1237651272969355765,25.90676,22.66334,21.03009,19.98894,19.57762,157.461454615802,65.062560410363,7974855530693455872,7083,56722,387,0.5648196
STAR,1231,4,301,199,1237650761862021441,21.38379,20.25042,19.72819,19.2979,18.95909,199.095428358399,-2.30611206477445,4563293856712028160,4053,55591,78,0.0006218419
GALAXY,1458,5,301,555,1237651737379799619,22.2278,21.53154,20.26227,19.51431,19.16708,207.959695413077,3.04210392621686,4544281921899393024,4036,55330,545,0.4732785
STAR,756,4,301,163,1237648721750196522,19.19514,18.26484,17.90179,17.76699,17.758,140.253022379401,0.348872384172004,4302336865547776000,3821,55535,994,0.001213247
GALAXY,1907,3,301,37,1237653664712426663,24.20257,23.56239,21.23351,20.0367,19.4895,128.133539819576,1.34132641750085,5394437516013793280,4791,55889,913,0.6560516
STAR,752,6,301,207,1237648705646952604,19.58147,18.68057,18.34712,18.23389,18.19813,174.623226270904,1.03032887852531,4324732276207972352,3841,56016,548,0.000185635
GALAXY,1350,4,301,188,1237651272962408803,25.5262,22.80927,20.80113,19.70738,19.3859,131.61250415406,55.3053107106265,8302391249001443328,7374,56751,19,0.4362006
STAR,756,6,301,315,1237648722833899783,21.72931,21.26901,21.03384,21.02339,21.23271,162.952232727294,1.16477379648,4318042290226130944,3835,55570,786,-0.0002019587
GALAXY,756,4,301,124,1237648721747641009,23.94177,21.51914,20.04531,19.0672,18.69574,134.346400348598,0.311866687452381,4295531163483303936,3815,55537,811,0.4904382
STAR,1345,6,301,631,1237651252590346577,20.22123,19.33191,18.97856,18.86009,18.85683,249.915106379828,44.4687699756979,6789186436157075456,6030,56097,36,-0.0005469805
GALAXY,1729,5,301,104,1237652901286379878,22.51499,21.30779,19.4862,18.70529,18.36113,3.23853227008763,-9.52290931304491,8071789573732757504,7169,56628,775,0.4296685
GALAXY,1412,4,301,256,1237651539254838241,21.73583,20.67531,19.67037,18.93414,18.97029,216.652859738425,64.4125576438392,8021088070462533632,7124,56720,644,0.5436026
STAR,1241,2,301,55,1237650803728515471,21.29948,20.44632,20.05006,20.03143,19.72706,146.570043042168,-2.74580521961603,4258199715147608064,3782,55244,168,0.0003291923
QSO,1458,1,301,716,1237651735242867403,23.01482,21.02928,20.70159,21.02573,20.89267,232.016615671142,0.80532301846491,4513811986127712256,4009,55648,288,3.003614
QSO,756,4,301,394,1237648721765335274,21.56875,21.25744,21.05494,21.2072,20.89105,174.78073734372,0.297833818697412,4324751517661458432,3841,56016,618,0.9818158
GALAXY,756,4,301,303,1237648721759371680,23.33899,22.21684,20.45073,19.36128,18.80807,161.150015425831,0.403248973168889,4316926011029254144,3834,55569,821,0.5487005
STAR,756,6,301,334,1237648722835144929,21.10192,20.62533,20.48908,20.55391,20.60612,165.819438893417,1.19486519229687,4319190725625049088,3836,55302,868,4.762449e-07
GALAXY,1239,6,301,165,1237650797293273751,23.37345,23.10774,20.71224,19.72007,19.2244,145.048100016151,1.04372893755235,4307884726813388800,3826,55563,697,0.6085529
GALAXY,1350,4,301,254,1237651272966734041,25.74001,21.05413,19.17118,18.43986,17.99537,145.831685765326,61.9527880843507,6440349888043216896,5720,56602,736,0.4064055
QSO,1345,2,301,746,1237651250450399661,21.27972,20.57856,20.33985,20.37295,20.20696,259.277613969976,28.9241139788594,5630715690023055360,5001,55719,328,2.442343
GALAXY,1462,3,301,461,1237651753479766447,25.38437,22.54129,20.83278,19.81253,19.43552,194.422996700966,2.18735938180675,4509384797139431424,4005,55325,566,0.5595955
STAR,1045,4,301,173,1237649962996400150,16.90044,15.75528,15.34325,15.18302,15.11259,59.9244906381629,-5.47272827993427,8166385231491428352,7253,56598,848,1.361152e-05
